Date,Name,Buy_Time,Buy_Price,Sell_Price,Profit,Return(%),Reason
20260120,경보제약,101953,6170,6210,41829,0.42,Trailing
20260120,삼양바이오팜,92002,77600,75800,-254958,-2.55,StopLoss
20260120,재영솔루텍,90521,7700,7860,184792,1.85,VolClimax
20260120,이수앱지스,131820,6030,6110,109669,1.1,Trailing
20260121,뉴로메카,91837,104100,106300,188335,1.88,WallBreak
20260121,에이스테크,111331,3005,3075,209945,2.1,Trailing
20260123,베뉴지,92007,3715,3630,-251802,-2.52,StopLoss
20260123,부국증권,90351,64000,64500,55125,0.55,Trailing
20260126,재영솔루텍,90356,6110,5960,-268499,-2.68,StopLoss
20260126,디케이티,111855,7820,7640,-253179,-2.53,StopLoss
20260126,뉴로메카,100243,110400,107900,-249449,-2.49,StopLoss
20260126,이랜텍,92038,9890,9850,-63444,-0.63,Trailing
20260127,디케이티,102413,9070,8860,-254532,-2.55,StopLoss
20260127,동양고속,95208,53800,52500,-264635,-2.65,StopLoss
20260127,아이티센글로벌,91250,46500,47400,170548,1.71,Trailing
20260127,메디포스트,93326,22100,22300,67497,0.67,Trailing
20260127,비보존 제약,90728,5430,5530,161162,1.61,VolClimax
20260128,한양이엔지,91227,31000,30250,-264935,-2.65,StopLoss
20260130,프로텍,112620,46850,47900,201119,2.01,VolClimax
20260130,케어젠,95747,129200,126400,-239718,-2.4,StopLoss
20260130,엑시콘,90545,25950,25300,-273481,-2.73,StopLoss
